title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,wikipedia_link,year
65,,2023-03-09T00:00:00Z,"adventure film, science fiction film, thriller film, survival film","Bryan Woods, Scott Beck",93,tt12261776,,29,https://en.wikipedia.org/wiki/65,2023
Beau Is Afraid,,2023-04-20T00:00:00Z,"drama film, comedy film, adventure film, comedy horror film",Ari Aster,179,tt13521006,,29,https://en.wikipedia.org/wiki/Beau_Is_Afraid,2023
Aftersun,,2023-03-09T00:00:00Z,"drama film, teen drama film",Charlotte Wells,101,tt19770238,,29,https://en.wikipedia.org/wiki/Aftersun,2023
Saltburn,,2023-11-17T00:00:00Z,"drama film, thriller film, black comedy film",Emerald Fennell,131,tt17351924,,29,https://en.wikipedia.org/wiki/Saltburn,2023
Priscilla,,2023-09-04T00:00:00Z,"drama film, biographical film, film based on book",Sofia Coppola,113,tt22041854,,29,https://en.wikipedia.org/wiki/Priscilla,2023
The Pope's Exorcist,,2023-04-06T00:00:00Z,"horror film, biographical film, speculative fiction film, supernatural horror film",Julius Avery,103,tt13375076,,29,https://en.wikipedia.org/wiki/The_Pope%27s_Exorcist,2023
Talk to Me,,2023-07-27T00:00:00Z,"horror film, thriller film","Danny Philippou, Michael Philippou",94,tt10638522,,29,https://en.wikipedia.org/wiki/Talk_to_Me,2023
Perfect Days,,2023-05-25T00:00:00Z,"drama film, slice of life",Wim Wenders,123,tt27503384,,29,https://en.wikipedia.org/wiki/Perfect_Days,2023
The Exorcist: Believer,,2023-10-04T00:00:00Z,"horror film, Satanic film",David Gordon Green,121,tt12921446,,28,https://en.wikipedia.org/wiki/The_Exorcist%3A_Believer,2023
Plane,,2023-01-13T00:00:00Z,"action film, adventure film, action thriller",Jean-François Richet,107,tt5884796,,28,https://en.wikipedia.org/wiki/Plane,2023
Trolls Band Together,,2023-10-18T00:00:00Z,"comedy film, musical film",Walt Dohrn,92,tt14362112,,28,https://en.wikipedia.org/wiki/Trolls_Band_Together,2023
The Pale Blue Eye,,2023-01-06T00:00:00Z,"horror film, crime film, mystery film, police film, thriller film, gothic film, film based on a novel",Scott Cooper,128,tt14138650,,27,https://en.wikipedia.org/wiki/The_Pale_Blue_Eye,2023
Close,,2023-01-27T00:00:00Z,drama film,Lukas Dhont,105,tt9660502,,27,https://en.wikipedia.org/wiki/Close,2023
The Woman King,,2023-02-02T00:00:00Z,"drama film, action film, epic film, historical film",Gina Prince-Bythewood,135,tt8093700,,27,https://en.wikipedia.org/wiki/The_Woman_King,2023
Renfield,,2023-03-30T00:00:00Z,"comedy horror, vampire film, comedy horror film",Chris McKay,93,tt11358390,,27,https://en.wikipedia.org/wiki/Renfield,2023
Holy Spider,,2023-01-12T00:00:00Z,crime film,Ali Abbasi,117,tt18550140,,27,https://en.wikipedia.org/wiki/Holy_Spider,2023
Gran Turismo,,2023-08-09T00:00:00Z,"drama film, action film, biographical film, sport film",Neill Blomkamp,134,tt4495098,,27,https://en.wikipedia.org/wiki/Gran_Turismo,2023
Fallen Leaves,,2023-05-22T00:00:00Z,"drama film, comedy film, romance film",Aki Kaurismäki,81,tt21027780,,27,https://en.wikipedia.org/wiki/Fallen_Leaves,2023
The Equalizer 3,,2023-08-31T00:00:00Z,"drama film, action film, crime film, thriller film, vigilante film",Antoine Fuqua,109,tt17024450,,27,https://en.wikipedia.org/wiki/The_Equalizer_3,2023
The Last Waltz,,2023-04-27T00:00:00Z,"concert film, music documentary film",Martin Scorsese,115,tt0077838,,26,https://en.wikipedia.org/wiki/The_Last_Waltz,2023
Leave the World Behind,,2023-12-08T00:00:00Z,"post-apocalyptic film, psychological thriller film",Sam Esmail,138,tt12747748,,26,https://en.wikipedia.org/wiki/Leave_the_World_Behind,2023
Heart of Stone,,2023-08-11T00:00:00Z,"action film, spy film, thriller film",Tom Harper,122,tt13603966,,26,https://en.wikipedia.org/wiki/Heart_of_Stone,2023
One Life,,2023-09-09T00:00:00Z,"drama film, biographical film, historical film",James Hawes,109,tt13097932,,26,https://en.wikipedia.org/wiki/One_Life,2023
Ferrari,,2023-01-01T00:00:00Z,"drama film, biographical film, film based on book",Michael Mann,130,tt3758542,,26,https://en.wikipedia.org/wiki/Ferrari,2023
Anyone but You,,2023-12-22T00:00:00Z,romantic comedy,Q2576503,103,tt26047818,,26,https://en.wikipedia.org/wiki/Anyone_but_You,2023
The Wonderful Story of Henry Sugar,,2023-09-27T00:00:00Z,"drama film, comedy film, adventure film",Wes Anderson,37,tt16968450,,26,https://en.wikipedia.org/wiki/The_Wonderful_Story_of_Henry_Sugar,2023
Asterix & Obelix: The Middle Kingdom,,2023-02-01T00:00:00Z,"comedy film, adventure film, family film",Guillaume Canet,111,tt11210390,,25,https://en.wikipedia.org/wiki/Asterix_%26_Obelix%3A_The_Middle_Kingdom,2023
The Challenge,,2023-04-12T00:00:00Z,"drama film, docudrama",Klim Shipenko,165,tt14812496,,25,https://en.wikipedia.org/wiki/The_Challenge,2023
Extraction 2,,2023-06-13T00:00:00Z,"action film, thriller film",Sam Hargrave,122,tt12263384,,25,https://en.wikipedia.org/wiki/Extraction_2,2023
Guy Ritchie's The Covenant,,2023-04-21T00:00:00Z,"drama film, action film, war film, thriller film",Guy Ritchie,123,tt4873118,,25,https://en.wikipedia.org/wiki/Guy_Ritchie%27s_The_Covenant,2023
Rebel Moon — Part One: A Child of Fire,,2023-12-15T00:00:00Z,"adventure film, science fiction film, epic film",Zack Snyder,135,tt14998742,,25,https://en.wikipedia.org/wiki/Rebel_Moon_%E2%80%94_Part_One%3A_A_Child_of_Fire,2023
Godzilla Minus One,,2023-11-01T00:00:00Z,"drama film, action film, horror film, adventure film, science fiction film, Japanese mythology, disaster film, kaiju, monster film, thriller film",Takashi Yamazaki,125,tt23289160,,25,https://en.wikipedia.org/wiki/Godzilla_Minus_One,2023
Pathaan,,2023-01-25T00:00:00Z,"action film, adventure film, spy film, thriller film",Siddharth Anand,146,tt12844910,,25,https://en.wikipedia.org/wiki/Pathaan,2023
Insidious: The Red Door,,2023-07-05T00:00:00Z,"horror film, speculative fiction film, supernatural horror film",Patrick Wilson,107,tt13405778,,25,https://en.wikipedia.org/wiki/Insidious%3A_The_Red_Door,2023
Monster,,2023-05-17T00:00:00Z,"drama film, thriller film, LGBT-related film, coming-of-age film",Hirokazu Koreeda,127,tt23736044,,25,https://en.wikipedia.org/wiki/Monster,2023
Tetris,,2023-03-15T00:00:00Z,"biographical film, thriller film",Jon S. Baird,118,tt12758060,,24,https://en.wikipedia.org/wiki/Tetris,2023
The Taste of Things,,2023-05-24T00:00:00Z,"drama film, romance film, historical film",Trần Anh Hùng,134,tt19760052,,24,https://en.wikipedia.org/wiki/The_Taste_of_Things,2023
The Color Purple,,2023-12-25T00:00:00Z,"drama film, musical film, historical film, coming-of-age film",Blitz the Ambassador,,tt1200263,,24,https://en.wikipedia.org/wiki/The_Color_Purple,2023
Nyad,,2023-01-01T00:00:00Z,biographical sports film,"Elizabeth Chai Vasarhelyi, Jimmy Chin",121,tt5302918,,24,https://en.wikipedia.org/wiki/Nyad,2023
Thanksgiving,,2023-11-17T00:00:00Z,"horror film, slasher film",Eli Roth,106,tt1448754,,24,https://en.wikipedia.org/wiki/Thanksgiving,2023
Mavka: The Forest Song,,2023-03-02T00:00:00Z,"fantasy film, comedy film, adventure film, musical film, family film, speculative fiction film","Oleksandra Ruban, Oleh Malamuzh",99,tt6685538,,24,https://en.wikipedia.org/wiki/Mavka%3A_The_Forest_Song,2023
Missing,,2023-01-19T00:00:00Z,"drama film, mystery film, thriller film, screenlife","Will Merrick, Nicholas D. Johnson",111,tt10855768,,23,https://en.wikipedia.org/wiki/Missing,2023
The Three Musketeers: D'Artagnan,,2023-04-05T00:00:00Z,"swashbuckler film, adventure film, historical film, film based on a novel",Martin Bourboulon,121,tt12672536,,23,https://en.wikipedia.org/wiki/The_Three_Musketeers%3A_D%27Artagnan,2023
Haunted Mansion,,2023-07-27T00:00:00Z,"comedy horror, speculative fiction film",Justin Simien,122,tt1695843,,23,https://en.wikipedia.org/wiki/Haunted_Mansion,2023
